system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|utbetalningsgrupp_id|anstallningsperiod_id|periodstart|periodslut|anstallningsform|avslutsorsak|loneform
Flex Lön|1973|2022|098765-4321|921|19680523-3456|1|1|55896267-9901-47F9-9C1F-052747CF4DF2|1996-03-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|0|47832043-7700-489C-B7C7-47A51B4C80E6|2001-07-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19720415-2340|30|0|4E4EEED0-2BEC-4609-91EA-B905E75843B0|2012-02-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19730301-4567|40|0|8484DECD-2E62-4B3B-A9CA-7ACAA5C1B868|2016-01-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|0|03F5E773-AB73-421E-8F32-2A8D657F21AC|2016-05-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19640312-3890|60|0|71391028-F99F-4202-BA60-E9E8E21830B3|2019-12-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19820715-4321|70|0|E5F2405E-A591-4411-BA28-C080BD2BECBA|2020-05-01T00:00|2020-11-30T00:00|Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|0|8A865A57-2529-4EE1-92E9-B39F8FCD18ED|2017-11-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|0|AF40421E-8A6A-4273-B6DD-EBB9A5FB1B7B|2012-04-01T00:00|2020-09-30T00:00|Tillsvidareanställd|Egen begäran|Månadslön
Flex Lön|1973|2022|098765-4321|921|19600520-1234|100|0|52194279-2C21-462B-BA2D-FFB05CC523FC|2000-06-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19610514-0666|110|0|342E0854-938F-46E2-900F-C29A960F5040|2020-01-01T00:00||Intermittent AVA||Timlön
Flex Lön|1973|2022|098765-4321|921|19750831-2222|120|0|85EF9FF1-CF89-4E28-B1C7-58068EB363FC|2018-08-01T00:00||Allmän visstidsanställning||Timlön
Flex Lön|1973|2022|098765-4321|921|20020618-1234|130|0|1F9C5C82-A745-4687-9A46-6FD7E75BF65B|2020-06-01T00:00|2020-08-31T00:00|Allmän visstidsanställning|Pension|Timlön
Flex Lön|1973|2022|098765-4321|921|19591201-3456|140|0|E3AA7A36-7E71-4003-8F3D-57A5B5B89325|2020-01-01T00:00||Förtroendevald|Avslutad tidsbeg. anställning|Timlön
Flex Lön|1973|2022|098765-4321|921|19810403-5678|150|0|EC65EF9B-61F9-472E-B3AB-633B4CD6EA88|2020-01-01T00:00||Uppdragstagare|Avslutad tidsbeg. anställning|Timlön
Flex Lön|1973|2022|098765-4321|921|20110827-0669|151|0|581361D7-8045-49A3-AFB5-E74AB6D7DC25|2020-09-06T00:00|2020-09-06T00:00|Uppdragstagare||Timlön
Flex Lön|1973|2022|098765-4321|921|19480613-2345|300|0|C24074A8-1937-4B3D-BF56-DA268EBA096D|1973-05-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19940307-3456|301|0|2F99AA78-9837-4BE8-A08B-3CAA0DF394BB|2018-12-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19940307-3456|302|0|FE027227-A917-4D86-AA7E-3EA904F6B21C|2019-01-01T00:00||Intermittent AVA||Timlön
Flex Lön|1973|2022|098765-4321|921|19700205-6789|303|0|DE6FC5DB-4F4F-4AEF-A9EB-2F2982DDF8F3|2003-03-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19870916-0123|304|0|75D04FF5-3BCC-4882-AC06-D62980D4A484|2001-05-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19810622-7890|305|0|F4950101-F169-46EB-8F37-54A55679B5CF|2012-12-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19680401-2345|306|0|214C44A0-3527-4B5F-A527-E6870A8886B3|2005-07-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19850315-9012|307|0|AA68E95F-03D0-4509-8482-8466F679086A|2019-01-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19670820-3456|308|0|7801813E-73DC-49EB-B1DB-9EF9B03D4352|2017-05-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19770930-7890|309|0|9854FE82-F9F7-4DAA-965F-A8E982B4194B|2020-01-01T00:00|2020-11-30T00:00|Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19791110-4567|310|0|B5FCF639-47C9-4CC2-8782-231645A17E17|2017-08-01T00:00||Tillsvidareanställd||Månadslön
Flex Lön|1973|2022|098765-4321|921|19990612-2345|311|0|3DEA8A54-CDE0-49D5-9C38-C5D7518C9236|2020-01-01T00:00|2020-01-01T00:00|Uppdragstagare||Timlön
Flex Lön|1973|2022|098765-4321|921|19830512-5678|312|0|F7968631-D537-42A1-A635-D1F828A1979A|2019-12-01T00:00|2022-11-30T00:00|Tillsvidareanställd|Egen begäran|Månadslön
Flex Lön|1973|2022|098765-4321|921|19561023-8901|313|0|23B15062-E5EC-48B3-90E1-11CBE91FF438|1989-05-01T00:00|2020-04-30T00:00|Tillsvidareanställd|Egen begäran|Månadslön
Flex Lön|1973|2022|098765-4321|921|19561023-8901|313|0|856992BE-42FD-4305-ACB0-FD8D575E6ECC|2020-05-01T00:00|2020-11-30T00:00|Intermittent AVA|Avslutad tidsbeg. anställning|Månadslön
