system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|transaktion_id|utbetalningsgrupp_id|utbetalningsgrupp_namn|lonekorningsnummer|personalkategori|loneart_kod|loneart_namn|datumstart|datumslut|omfattning_procent|antal|enhet|apris|belopp_sek|transaktionsrad_text
Flex Lön|1973|2022|098765-4321|921|            |1|1|1|Månadsutbetalning|2020-09|MÅN|90|Arvode uppdragstagare|||0|0|st|0|2000|
Flex Lön|1973|2022|098765-4321|921|            |1|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|0|
Flex Lön|1973|2022|098765-4321|921|            |1|4|1|Månadsutbetalning|2020-09|MÅN|554|Slutlön flex/tim-bank|||0|0|tim|0|-5000|
Flex Lön|1973|2022|098765-4321|921|            |1|6|1|Månadsutbetalning|2020-09|MÅN|913|Engångsskatt|||0|0||0|0|
Flex Lön|1973|2022|098765-4321|921|            |1|7|1|Månadsutbetalning|2020-09|MÅN|995|Bruttoskuld till n lön|||0|0||0|3000|
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|25500|
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-6229|
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|3|1|Månadsutbetalning|2020-09|MÅN|570|Semesteravdr under 40 %|2020-09-01T00:00|2020-09-30T00:00|100|0|kdgr|0|0|
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|4|1|Månadsutbetalning|2020-09|MÅN|570|Semesteravdr under 40 %|2020-08-01T00:00|2020-08-31T00:00|100|0|kdgr|0|0|
Flex Lön|1973|2022|098765-4321|921|            |30|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|29000|
Flex Lön|1973|2022|098765-4321|921|            |30|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-7276|
Flex Lön|1973|2022|098765-4321|921|            |30|3|1|Månadsutbetalning|2020-09|MÅN|570|Semesteravdr under 40 %|2020-08-01T00:00|2020-08-30T00:00|0|30|kdgr|0|0|
Flex Lön|1973|2022|098765-4321|921|            |40|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|41000|
Flex Lön|1973|2022|098765-4321|921|            |40|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-4228|
Flex Lön|1973|2022|098765-4321|921|            |40|3|1|Månadsutbetalning|2020-09|MÅN|427|Sjukavdr ej sjukp 365-|2020-08-01T00:00|2020-09-30T00:00|0|61|kdgr|-1322.58064516129|-80677.42|
Flex Lön|1973|2022|098765-4321|921|            |40|4|1|Månadsutbetalning|2020-09|MÅN|428|Sjukl 72,75% ej sjkp 365|2020-08-01T00:00|2020-09-30T00:00|0|61|kdgr|962.177419354839|58692.82|
Flex Lön|1973|2022|098765-4321|921|            |40|5|1|Månadsutbetalning|2020-09|MÅN|998|Öresutjämning|||0|0||0|-0.4|
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|29000|
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-7276|
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|3|1|Månadsutbetalning|2020-09|MÅN|622|Facklig led med lön dgr|2020-09-01T00:00|2020-09-02T00:00|100|2|dgr|0|0|
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|6|1|Månadsutbetalning|2020-09|MÅN|621|Facklig led med lön, tim|2020-09-03T00:00|2020-09-04T00:00|0|16|tim|0|0|
Flex Lön|1973|2022|098765-4321|921|            |60|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|098765-4321|921|            |60|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-9254|
Flex Lön|1973|2022|098765-4321|921|            |60|3|1|Månadsutbetalning|2020-09|MÅN|74|Periodens närvarotid|2020-08-01T00:00|2020-08-31T00:00|100|160|tim|0|0|
Flex Lön|1973|2022|098765-4321|921|            |60|4|1|Månadsutbetalning|2020-09|MÅN|603|Tjänstledighet dagar|2020-08-31T00:00|2020-08-31T00:00|80|0|dgr|-1580.64516129033|0|
Flex Lön|1973|2022|098765-4321|921|            |60|6|1|Månadsutbetalning|2020-09|MÅN|570|Semesteravdr under 40 %|2020-08-01T00:00|2020-08-10T00:00|100|0|kdgr|0|0|
Flex Lön|1973|2022|098765-4321|921|            |70|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|26000|
Flex Lön|1973|2022|098765-4321|921|            |70|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-3274|
Flex Lön|1973|2022|098765-4321|921|            |70|3|1|Månadsutbetalning|2020-09|MÅN|994|Bruttoskuld fr föreg lön|||0|0||0|-16000|
Flex Lön|1973|2022|098765-4321|921|            |70|5|1|Månadsutbetalning|2020-09|MÅN|995|Bruttoskuld till n lön|||0|0||0|6000|
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|32500|
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-8414|
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|3|1|Månadsutbetalning|2020-09|MÅN|694|Kompl pensionspremie|||0|0||0|2000|
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|4|1|Månadsutbetalning|2020-09|MÅN|695|Avdrag kompl pensionspr|||0|0||0|-2000|
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|1|1|Månadsutbetalning|2020-09|MÅN|70|Månadslön|2020-09-01T00:00|2020-09-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|2|1|Månadsutbetalning|2020-09|MÅN|912|Skatt|||0|0||0|-5428|
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|3|1|Månadsutbetalning|2020-09|MÅN|696|Pension, löneväxling|||0|0||0|-4000|
