system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|lonekorningsnummer|utbetalningsgrupp_id|utbetalningsgrupp_namn|utbetalningsdatum|fornamn|efternamn|lonespec
Flex Lön|1973|2022|098765-4321|921|            |1|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Mimmi|Musiker|lonespecifikationer\098765-4321__1_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|19760628-0696|20|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Valter|Vaktis|lonespecifikationer\098765-4321_197606280696_20_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |30|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Vera|Vaktis|lonespecifikationer\098765-4321__30_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |40|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Piia|Präst|lonespecifikationer\098765-4321__40_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|19650927-0689|50|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Petra|Pedagog|lonespecifikationer\098765-4321_196509270689_50_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |60|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Karin|Kanslist|lonespecifikationer\098765-4321__60_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |70|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Fröken|Fredrik|lonespecifikationer\098765-4321__70_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|19760801-0695|80|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Fabian|Fastigheter|lonespecifikationer\098765-4321_197608010695_80_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|19780525-3148|90|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Diana|Diakon|lonespecifikationer\098765-4321_197805253148_90_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |100|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Kicki|Kyrkoherde|lonespecifikationer\098765-4321__100_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|19610514-0666|110|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Pelle|På Stan|lonespecifikationer\098765-4321_196105140666_110_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |120|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Tim|Timmis|lonespecifikationer\098765-4321__120_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |140|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Fred|Förtroende|lonespecifikationer\098765-4321__140_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |150|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Uffe|Uppdragstagare|lonespecifikationer\098765-4321__150_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |300|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Pelle|Pensionär|lonespecifikationer\098765-4321__300_202009_lonespec.html
Flex Lön|1973|2022|098765-4321|921|            |301|2020-09|1|Månadsutbetalning|2020-09-25T00:00:00|Dennis|Dublett|lonespecifikationer\098765-4321__301_202009_lonespec.html
