system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|utbetalningsgrupp_id|manadslon_id|manadslon_heltid_sek|manadslon_heltid_sek_startdatum|manadslon_heltid_sek_slutdatum
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|1|25933|1996-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|2|35000|2020-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|3|38000|2021-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|0|4|42000|2021-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|1|21000|2001-07-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|0|2|22000|2020-10-15T00:00|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|0|1|29000|2012-02-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|0|2|30000|2020-10-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|0|3|32000|2021-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|0|1|35000|2016-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|1|29000|2016-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|0|2|30000|2020-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|0|1|35000|2019-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|0|2|36000|2021-02-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|0|1|26000|2020-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|0|1|32500|2017-11-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|0|1|35000|2012-04-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|0|1|56000|2000-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19880121-0694|160|0|1|34000|2021-06-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19860214-3102|170|0|1|40000|2021-08-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|0|1|30000|2021-04-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|0|1|25000|2018-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|0|1|130|2019-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|0|1|33000|2003-03-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|0|1|29500|2001-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|0|1|24000|2012-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|0|1|35000|2005-07-01T00:00|
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|0|1|30000|2021-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|0|1|45000|2017-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|0|1|30000|2020-01-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|0|1|35000|2017-08-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|0|1|26000|2019-12-01T00:00|
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|0|1|27500|1989-05-01T00:00|
Flex Lön|1973|2022|123456-7890|923|            |315|0|1|25000|2022-02-26T00:00|
